Date,Name,Author,Attributed to,Location,Language,Description,Sequel to,Predecessor to,Categories,Notes
-600 (circa),Genesis,,Moses,Levant,Hebrew,,,Exodus,Bible,
500 (circa),Avesta,,Zoroaster,Sasanian Empire,Avestan,,,,Zoroastrianism,Other critical Zoroastrian texts can be found mentioned at https://en.wikipedia.org/wiki/Avesta#Other_Zoroastrian_religious_texts
